id,title,country,points,price,province,variety,winery,count,counts
6055,Coquelicot 2009 Mon Amour Red (Santa Ynez Valley),US,85,60.00,California,Bordeaux-style Red Blend,Coquelicot,1376,350
6056,Domaine Laroche 2009 Les Vaudevey (Chablis),France,92,40.00,Burgundy,Chardonnay,Domaine Laroche,2294,514
6057,Bernard Baudry 2009 Le Clos Guillot (Chinon),France,90,0.00,Loire Valley,Cabernet Franc,Bernard Baudry,262,43
6058,Tommasi 2009 Bardolino Chiaretto,Italy,84,12.00,Veneto,RosÃ©,Tommasi,735,15
6059,Jacques Charlet 2009 Les Vieux Murs (Pouilly-FuissÃ©),France,92,30.00,Burgundy,Chardonnay,Jacques Charlet,2294,514
6060,O. Fournier 2009 Alfa Crux Malbec (Uco Valley),Argentina,93,0.00,Mendoza Province,Malbec,O. Fournier,549,316
6061,Emiliana 2009 Natura Syrah (Rapel Valley),Chile,86,11.00,Rapel Valley,Syrah,Emiliana,829,61
6062,Georges Duboeuf 2009 Domaine de Montchavy (Morgon),France,90,0.00,Beaujolais,Gamay,Georges Duboeuf,191,190
6063,Huia 2009 Pinot Noir (Marlborough),New Zealand,91,17.00,Marlborough,Pinot Noir,Huia,2648,106
6064,Picket Fence 2009 Pinot Noir (Russian River Valley),US,84,18.00,California,Pinot Noir,Picket Fence,2648,1958
6065,Roccafiore 2009 Rosso Melograno Red (Umbria),Italy,86,12.00,Central Italy,Red Blend,Roccafiore,1726,726
6066,GÃ¥rd 2009 Lawrence Vineyards Don Isidro Red Cabernet Sauvignon-Syrah (Columbia Valley (WA)),US,87,22.00,Washington,Cabernet Sauvignon-Syrah,GÃ¥rd,19,13
6067,West Cape Howe 2009 Two Steps Shiraz (Western Australia),Australia,91,17.00,Western Australia,Shiraz,West Cape Howe,165,127
6068,Joh. Jos. PrÃ¼m 2009 Graacher Himmelreich Auslese Riesling (Mosel),Germany,91,51.00,Mosel,Riesling,Joh. Jos. PrÃ¼m,1022,356
6069,Willamette Valley Vineyards 2009 Tualatin Estate Pinot Noir (Willamette Valley),US,90,45.00,Oregon,Pinot Noir,Willamette Valley Vineyards,2648,1958
6070,Brander 2009 Syrah (Santa Ynez Valley),US,87,22.00,California,Syrah,Brander,829,631
6071,Bunchgrass 2009 Cabernet Sauvignon (Walla Walla Valley (WA)),US,89,42.00,Washington,Cabernet Sauvignon,Bunchgrass,1845,1432
6072,Butterfield Station 2009 Sauvignon Blanc (California),US,83,8.00,California,Sauvignon Blanc,Butterfield Station,1025,462
6073,Corte Archi 2009 Gli Archi (Valpolicella Classico Superiore Ripasso),Italy,86,25.00,Veneto,"Corvina, Rondinella, Molinara",Corte Archi,130,130
6074,Muscardini 2009 Rosato di Sangiovese Monte Rosso Vineyards Sangiovese (Sonoma Valley),US,87,22.00,California,Sangiovese,Muscardini,524,93
6075,Efeste 2009 Lola Chardonnay (Columbia Valley (WA)),US,96,30.00,Washington,Chardonnay,Efeste,2294,1342
6076,Chateau Ste. Michelle 2009 Harvest Select Riesling (Columbia Valley (WA)),US,87,9.00,Washington,Riesling,Chateau Ste. Michelle,1022,329
6077,Argyle 2009 Nusshaus Riesling (Eola-Amity Hills),US,85,18.00,Oregon,Riesling,Argyle,1022,329
6078,Domaine Gavoty 2009 CuvÃ©e Tradition RosÃ© (CÃ´tes de Provence),France,87,17.00,Provence,RosÃ©,Domaine Gavoty,735,407
6079,B.R. Cohn 2009 Silver Label Cabernet Sauvignon (North Coast),US,86,20.00,California,Cabernet Sauvignon,B.R. Cohn,1845,1432
6080,Almez 2009 Tempranillo (Vino de la Tierra de Castilla),Spain,85,9.00,Central Spain,Tempranillo,Almez,355,282
6081,ViÃ±a Vilano 2009 Crianza (Ribera del Duero),Spain,89,20.00,Northern Spain,Tempranillo,ViÃ±a Vilano,355,282
6082,Jacques Charlet 2009 Champ de Cour (Moulin-Ã -Vent),France,92,0.00,Beaujolais,Gamay,Jacques Charlet,191,190
6083,Terrazze dell'Etna 2009 Cirneco Rosso (Etna),Italy,87,45.00,Sicily & Sardinia,Nerello Mascalese,Terrazze dell'Etna,20,20
6084,Domaine Brunet 2009 Malbec (Cahors),France,86,15.00,Southwest France,Malbec,Domaine Brunet,549,81
6085,Joullian 2009 Family Reserve Syrah (Carmel Valley),US,87,35.00,California,Syrah,Joullian,829,631
6086,Terra d'Aligi 2009 Pecorino (Terre di Chieti),Italy,86,11.00,Central Italy,Pecorino,Terra d'Aligi,13,13
6087,Cuvaison 2009 Pinot Noir (Carneros),US,86,33.00,California,Pinot Noir,Cuvaison,2648,1958
6088,Tyler Florence 2009 Blend #5 Cabernet Sauvignon (Napa Valley),US,86,25.00,California,Cabernet Sauvignon,Tyler Florence,1845,1432
6089,Casa Silva 2009 Reserva Cabernet Sauvignon (Colchagua Valley),Chile,85,12.00,Colchagua Valley,Cabernet Sauvignon,Casa Silva,1845,152
6090,Novelty Hill 2009 Stillwater Creek Vineyard Syrah (Columbia Valley (WA)),US,90,28.00,Washington,Syrah,Novelty Hill,829,631
6091,Bodegas La Horra 2009 Corimbo (Ribera del Duero),Spain,90,38.00,Northern Spain,Tempranillo,Bodegas La Horra,355,282
6092,R&A; Pfaffl 2009 Austrian Pepper GrÃ¼ner Veltliner (NiederÃ¶sterreich),Austria,87,15.00,NiederÃ¶sterreich,GrÃ¼ner Veltliner,R&A; Pfaffl,252,229
6093,Testarossa 2009 Pisoni Vineyard Pinot Noir (Santa Lucia Highlands),US,93,65.00,California,Pinot Noir,Testarossa,2648,1958
6094,ChÃ¢teau Haut Bessac 2009 Bordeaux SupÃ©rieur,France,88,0.00,Bordeaux,Bordeaux-style Red Blend,ChÃ¢teau Haut Bessac,1376,946
6095,Bonacchi 2009 Casalino Riserva (Chianti Classico),Italy,87,15.00,Tuscany,Sangiovese,Bonacchi,524,430
6096,Dutton-Goldfield 2009 McDougall Vineyard Pinot Noir (Sonoma Coast),US,94,58.00,California,Pinot Noir,Dutton-Goldfield,2648,1958
6097,MarquÃ©s de TerÃ¡n 2009 SelecciÃ³n Especial (Rioja),Spain,86,24.00,Northern Spain,Tempranillo,MarquÃ©s de TerÃ¡n,355,282
6098,Veritas 2009 Paul Shaffer 3rd Edition Petit Verdot (Monticello),US,87,35.00,Virginia,Petit Verdot,Veritas,56,47
6099,Townley 2009 Alder Springs Vineyard Chardonnay (Mendocino),US,93,38.00,California,Chardonnay,Townley,2294,1342
6100,De Loach 2009 Pennacchio Vineyard Pinot Noir (Russian River Valley),US,96,45.00,California,Pinot Noir,De Loach,2648,1958
6101,Gordon Estate 2009 Decadence Red (Columbia Valley (WA)),US,87,50.00,Washington,Red Blend,Gordon Estate,1726,528
6102,Fattoria Zerbina 2009 Il 500 (Sangiovese di Romagna),Italy,88,11.00,Central Italy,Sangiovese,Fattoria Zerbina,524,430
6103,Guerrieri Rizzardi 2009 Calcarole (Amarone della Valpolicella Classico),Italy,88,140.00,Veneto,Red Blend,Guerrieri Rizzardi,1726,726
6104,Courtney Benham 2009 Merlot (Napa Valley),US,86,18.00,California,Merlot,Courtney Benham,593,419
6105,Renato Ratti 2009 Conca (Barolo),Italy,85,0.00,Piedmont,Nebbiolo,Renato Ratti,537,527
6106,Borgogno F.lli Serio e Battista 2009 Cannubi Riserva (Barolo),Italy,89,45.00,Piedmont,Nebbiolo,Borgogno F.lli Serio e Battista,537,527
6107,Full Pull & Friends 2009 Cabernet Sauvignon (Columbia Valley (WA)),US,89,34.00,Washington,Cabernet Sauvignon,Full Pull & Friends,1845,1432
6108,DÃ£o Sul 2009 Casa de Santar Conde de Santar Red (DÃ£o),Portugal,94,46.00,DÃ£o,Portuguese Red,DÃ£o Sul,492,492
6109,Companhia das Quintas 2009 Quinta do Cardo Grande Escolha Red (Beira Interior),Portugal,93,55.00,Beira Interior,Portuguese Red,Companhia das Quintas,492,492
6110,Kabaj 2009 Merlot (Goriska Brda),Slovenia,89,37.00,Goriska Brda,Merlot,Kabaj,593,1
6111,Robert Mondavi 2009 Reserve Pinot Noir (Carneros),US,86,60.00,California,Pinot Noir,Robert Mondavi,2648,1958
6112,Almquist 2009 Destiny Ridge Vineyard Cabernet Sauvignon (Horse Heaven Hills),US,87,32.00,Washington,Cabernet Sauvignon,Almquist,1845,1432
6113,Ferraud et Fils 2009 Les Ravinets (JuliÃ©nas),France,90,19.00,Beaujolais,Gamay,Ferraud et Fils,191,190
6114,Gernot and Heike Heinrich 2009 Pannobile Red (Burgenland),Austria,92,55.00,Burgenland,Austrian Red Blend,Gernot and Heike Heinrich,15,15
6115,ChÃ¢teau Fombrauge 2009 Saint-Ãmilion,France,87,34.00,Bordeaux,Bordeaux-style Red Blend,ChÃ¢teau Fombrauge,1376,946
6116,ChÃ¢teau de Cornemps 2009 CuvÃ©e Prestige (Bordeaux SupÃ©rieur),France,87,14.00,Bordeaux,Bordeaux-style Red Blend,ChÃ¢teau de Cornemps,1376,946
6117,Rock Hollow 2009 Sauvignon Blanc (Santa Barbara County),US,87,12.00,California,Sauvignon Blanc,Rock Hollow,1025,462
6118,Caliterra 2009 Tributo Sauvignon Blanc (Leyda Valley),Chile,87,20.00,Leyda Valley,Sauvignon Blanc,Caliterra,1025,137
6119,Chalk Hill 2009 Estate Bottled Viognier (Chalk Hill),US,92,50.00,California,Viognier,Chalk Hill,203,160
6120,Talamonti 2009 Trabocchetto Pecorino (Colline Pescaresi),Italy,87,16.00,Central Italy,Pecorino,Talamonti,13,13
6121,Robert Ramsay 2009 McKinley Springs Vineyard MourvÃ¨dre (Horse Heaven Hills),US,90,35.00,Washington,MourvÃ¨dre,Robert Ramsay,54,48
6122,Michel Torino 2009 Don David Reserve Malbec (CalchaquÃ­ Valley),Argentina,84,16.00,Other,Malbec,Michel Torino,549,316
6123,Alain Jaume et Fils 2009 Domaine Grand Veneur Red (ChÃ¢teauneuf-du-Pape),France,92,53.00,RhÃ´ne Valley,RhÃ´ne-style Red Blend,Alain Jaume et Fils,294,133
6124,Castoro Cellars 2009 Cabernet Sauvignon (Paso Robles),US,85,13.00,California,Cabernet Sauvignon,Castoro Cellars,1845,1432
6125,Azur 2009 Sauvignon Blanc (Rutherford),US,88,26.00,California,Sauvignon Blanc,Azur,1025,462
6126,Targovishte 2009 Muskat Ottonel (Bulgaria),Bulgaria,80,9.00,Bulgaria,Muskat Ottonel,Targovishte,8,1
6127,Snoqualmie 2009 Reserve Cabernet Sauvignon (Columbia Valley (WA)),US,89,20.00,Washington,Cabernet Sauvignon,Snoqualmie,1845,1432
6128,Nals Margreid 2009 Aus Gries Lagrein (Alto Adige),Italy,88,23.00,Northeastern Italy,Lagrein,Nals Margreid,17,17
6129,Planeta 2009 Santa Cecilia Red (Noto),Italy,90,43.00,Sicily & Sardinia,Red Blend,Planeta,1726,726
6130,Milziade Antano 2009 Colleallodole (Sagrantino di Montefalco),Italy,95,70.00,Central Italy,Sagrantino,Milziade Antano,27,25
6131,Robertson Winery 2009 Sauvignon Blanc (Robertson),South Africa,84,10.00,Robertson,Sauvignon Blanc,Robertson Winery,1025,39
6132,Sheldrake Point 2009 Dry Riesling (Finger Lakes),US,88,15.00,New York,Riesling,Sheldrake Point,1022,329
6133,Broke Ass 2009 Red Malbec-Syrah (Mendoza),Argentina,84,4.00,Mendoza Province,Malbec-Syrah,Broke Ass,1,1
6134,Bonotto delle Tezze 2009 Novalis Manzoni (Veneto),Italy,85,14.00,Veneto,Manzoni,Bonotto delle Tezze,2,2
6135,Rudera 2009 De Tradisie Chenin Blanc (Stellenbosch),South Africa,89,19.00,Stellenbosch,Chenin Blanc,Rudera,119,39
6136,ViÃ±a PÃ©rez Cruz 2009 Quelen Special Selection Red (Maipo Valley),Chile,83,75.00,Maipo Valley,Red Blend,ViÃ±a PÃ©rez Cruz,1726,88
6137,ChÃ¢teau Beaubois 2009 Confidence Red (CostiÃ¨res de NÃ®mes),France,89,18.00,RhÃ´ne Valley,RhÃ´ne-style Red Blend,ChÃ¢teau Beaubois,294,133
6138,Rocca delle MacÃÂ¬e 2009 Roccato Red (Toscana),Italy,92,60.00,Tuscany,Red Blend,Rocca delle MacÃÂ¬e,1726,726
6139,Bradgate 2009 Cabernet Sauvignon-Merlot-Shiraz Red (Stellenbosch),South Africa,87,15.00,Stellenbosch,Red Blend,Bradgate,1726,19
6140,Pont de Chevalier 2009 Beckstoffer To Kalon Vineyard Cabernet Sauvignon (Napa Valley),US,90,135.00,California,Cabernet Sauvignon,Pont de Chevalier,1845,1432
6141,Boekenoogen 2009 Estate Pinot Noir (Santa Lucia Highlands),US,90,45.00,California,Pinot Noir,Boekenoogen,2648,1958
6142,San Pedro 2009 Castillo de Molina Reserva Cabernet Sauvignon (Central Valley),Chile,86,12.00,Central Valley,Cabernet Sauvignon,San Pedro,1845,152
6143,Domaine Boyar 2009 Reserve Cabernet Sauvignon (Thracian Valley),Bulgaria,87,9.00,Thracian Valley,Cabernet Sauvignon,Domaine Boyar,1845,5
6144,Tempus Cellars 2009 Cabernet Sauvignon (Columbia Valley (WA)),US,90,32.00,Washington,Cabernet Sauvignon,Tempus Cellars,1845,1432
6145,Luis Felipe Edwards 2009 Reserva Cabernet Sauvignon (Colchagua Valley),Chile,84,9.00,Colchagua Valley,Cabernet Sauvignon,Luis Felipe Edwards,1845,152
6146,Valle Reale 2009 Vigneto Vigne Nuove (Montepulciano d'Abruzzo Cerasuolo),Italy,86,13.00,Central Italy,RosÃ©,Valle Reale,735,15
6147,MarquÃ©s de Murrieta 2009 CapellanÃ­a Viura (Rioja),Spain,89,28.00,Northern Spain,Viura,MarquÃ©s de Murrieta,31,31
6148,Maison Bleue 2009 Soleil Roussanne (Yakima Valley),US,94,25.00,Washington,Roussanne,Maison Bleue,33,28
6149,Zimri Cellars 2009 Pinot Noir (Willamette Valley),US,87,25.00,Oregon,Pinot Noir,Zimri Cellars,2648,1958
6150,Norbert Bauer 2009 Diermannsee Riesling (NiederÃ¶sterreich),Austria,88,18.00,NiederÃ¶sterreich,Riesling,Norbert Bauer,1022,142
6151,Kaesler 2009 Avignon Red (Barossa Valley),Australia,90,35.00,South Australia,RhÃ´ne-style Red Blend,Kaesler,294,4
6152,Piattelli 2009 Grand Reserve Cabernet Sauvignon (Tupungato),Argentina,87,25.00,Mendoza Province,Cabernet Sauvignon,Piattelli,1845,96
6153,Golan Heights Winery 2009 Yarden Odem Vineyard Chardonnay (Galilee),Israel,87,19.00,Galilee,Chardonnay,Golan Heights Winery,2294,11
6154,ChÃ¢teau Bel-Air Ortet 2009 Saint-EstÃ¨phe,France,90,35.00,Bordeaux,Bordeaux-style Red Blend,ChÃ¢teau Bel-Air Ortet,1376,946
6155,MarquÃ©s de Vargas 2009 Reserva Privada (Rioja),Spain,88,70.00,Northern Spain,Tempranillo Blend,MarquÃ©s de Vargas,114,113
6213,Cortes de Cima 2009 Trincadeira (Alentejano),Portugal,86,0.00,Alentejano,Trincadeira,Cortes de Cima,7,7
6156,Dr. Heidemanns-Bergweiler 2009 Bernkasteler alte Badstube am Doctorberg Kabinett Riesling (Mosel),Germany,89,22.00,Mosel,Riesling,Dr. Heidemanns-Bergweiler,1022,356
6157,Espiritu de Argentina 2009 TorrontÃ©s (Mendoza),Argentina,83,9.00,Mendoza Province,TorrontÃ©s,Espiritu de Argentina,52,49
6158,Viu Manent 2009 El Olivar Alto Single Vineyard Syrah (Colchagua Valley),Chile,88,25.00,Colchagua Valley,Syrah,Viu Manent,829,61
6159,Le Marchesine 2009 SatÃ¨n Millesimato Chardonnay (Franciacorta),Italy,87,41.00,Lombardy,Chardonnay,Le Marchesine,2294,54
6160,Painted Wolf 2009 Guillermo Pinotage (Swartland),South Africa,86,18.00,Swartland,Pinotage,Painted Wolf,22,19
6161,Borsao 2009 Red (Campo de Borja),Spain,89,8.00,Northern Spain,Red Blend,Borsao,1726,167
6162,Maison Nicolas Perrin 2009 Saint-Joseph,France,88,36.00,RhÃ´ne Valley,Syrah,Maison Nicolas Perrin,829,37
6163,Cramele Halewood 2009 Vitis Metamorfosis Merlot (Dealu Mare),Romania,84,15.00,Dealu Mare,Merlot,Cramele Halewood,593,1
6164,ViÃ±a Mayor 2009 Secreto Vendimia Seleccionada (Ribera del Duero),Spain,84,0.00,Northern Spain,Tempranillo,ViÃ±a Mayor,355,282
6165,Spadafora 2009 Vigna Fiego White (Donnici),Italy,85,0.00,Southern Italy,White Blend,Spadafora,465,165
6166,Yao Ming 2009 Family Reserve Cabernet Sauvignon (Napa Valley),US,97,625.00,California,Cabernet Sauvignon,Yao Ming,1845,1432
6167,Vidon Vineyard 2009 Mirabelle Clone 115 Pinot Noir (Chehalem Mountains),US,92,50.00,Oregon,Pinot Noir,Vidon Vineyard,2648,1958
6168,Livio Felluga 2009 Friulano (Colli Orientali del Friuli),Italy,89,25.00,Northeastern Italy,Friulano,Livio Felluga,20,20
6169,Callia 2009 Alta Pinot Grigio (Tulum Valley),Argentina,85,9.00,Other,Pinot Grigio,Callia,188,8
6170,Contrade di Taurasi - Lonardo 2009 Vigne d'Alto (Taurasi),Italy,94,70.00,Southern Italy,Aglianico,Contrade di Taurasi - Lonardo,72,68
6171,RamÃ³n Bilbao 2009 Rioja,Spain,83,13.00,Northern Spain,Tempranillo,RamÃ³n Bilbao,355,282
6172,Rocca del Principe 2009 Fiano di Avellino,Italy,86,24.00,Southern Italy,Fiano,Rocca del Principe,23,23
6173,Firesteed 2009 Pinot Gris (Oregon),US,89,12.00,Oregon,Pinot Gris,Firesteed,287,174
6174,Tenute Sella 2009 San Sebastiano allo Zoppo (Lessona),Italy,89,52.00,Piedmont,Red Blend,Tenute Sella,1726,726
6175,Kokomo 2009 Pauline's Vineyard Zinfandel (Dry Creek Valley),US,84,32.00,California,Zinfandel,Kokomo,517,515
6176,Scilio 2009 Etna,Italy,87,18.00,Sicily & Sardinia,Red Blend,Scilio,1726,726
6177,Roth 2009 Pinot Noir (Sonoma Coast),US,88,27.00,California,Pinot Noir,Roth,2648,1958
6178,ViÃ±as de Vila 2009 Reserva Merlot (Mendoza),Argentina,82,10.00,Mendoza Province,Merlot,ViÃ±as de Vila,593,18
6179,Buried Cane 2009 Whiteline No Oak Chardonnay (Columbia Valley (WA)),US,87,14.00,Washington,Chardonnay,Buried Cane,2294,1342
6180,Maximin GrÃ¼nhÃ¤user 2009 Herrenberg Eiswein Riesling (Mosel),Germany,96,228.00,Mosel,Riesling,Maximin GrÃ¼nhÃ¤user,1022,356
6181,Duckhorn 2009 Cabernet Sauvignon (Howell Mountain),US,93,80.00,California,Cabernet Sauvignon,Duckhorn,1845,1432
6182,Horse & Plow 2009 Testa Vineyard Zinfandel (Mendocino),US,84,22.00,California,Zinfandel,Horse & Plow,517,515
6183,Chono 2009 Reserva Syrah (Elqui Valley),Chile,86,12.00,Elqui Valley,Syrah,Chono,829,61
6184,Duemani 2009 Altrovino Red (Toscana),Italy,92,39.00,Tuscany,Red Blend,Duemani,1726,726
6185,Mark Ryan 2009 Black Love Pinot Noir (Willamette Valley),US,91,50.00,Oregon,Pinot Noir,Mark Ryan,2648,1958
6186,Summers 2009 Ranch Reserve Merlot (Knights Valley),US,87,30.00,California,Merlot,Summers,593,419
6187,Septima 2009 Gran Reserva Red (Mendoza),Argentina,92,25.00,Mendoza Province,Red Blend,Septima,1726,45
6188,Balletto 2009 Estate Bottled Chardonnay (Russian River Valley),US,87,24.00,California,Chardonnay,Balletto,2294,1342
6189,Gorman 2009 The Bully Cabernet Sauvignon (Red Mountain),US,95,45.00,Washington,Cabernet Sauvignon,Gorman,1845,1432
6190,ChÃ¢teau PrieurÃ©-Lichine 2009 Margaux,France,90,56.00,Bordeaux,Bordeaux-style Red Blend,ChÃ¢teau PrieurÃ©-Lichine,1376,946
6191,Clos Troteligotte 2009 K-Or Malbec (Cahors),France,90,18.00,Southwest France,Malbec,Clos Troteligotte,549,81
6192,ChÃ¢teau le Paradis 2009 CÃ´tes de Bourg,France,88,22.00,Bordeaux,Bordeaux-style Red Blend,ChÃ¢teau le Paradis,1376,946
6193,Gordon Brothers 2009 Tempranillo (Columbia Valley (WA)),US,86,40.00,Washington,Tempranillo,Gordon Brothers,355,62
6194,Losada 2009 Altos de Losada MencÃ­a (Bierzo),Spain,93,40.00,Northern Spain,MencÃ­a,Losada,38,38
6195,Villa San Juliette 2009 Cabernet Sauvignon (Paso Robles),US,83,17.00,California,Cabernet Sauvignon,Villa San Juliette,1845,1432
6196,Soulmate 2009 Estate Nebbiolo (Santa Cruz Mountains),US,93,70.00,California,Nebbiolo,Soulmate,537,9
6197,Dashwood 2009 Pinot Noir (Marlborough),New Zealand,84,17.00,Marlborough,Pinot Noir,Dashwood,2648,106
6198,Martin Ray 2009 Reserve Chardonnay (Carneros),US,90,25.00,California,Chardonnay,Martin Ray,2294,1342
6199,CousiÃ±o-Macul 2009 Finis Terrae Red (Maipo Valley),Chile,89,28.00,Maipo Valley,Red Blend,CousiÃ±o-Macul,1726,88
6200,Niepoort 2009 Vintage (Port),Portugal,95,90.00,Port,Port,Niepoort,86,73
6201,Domaine Jessiaume 2009 Les Ecusseaux Premier Cru (Auxey-Duresses),France,87,46.00,Burgundy,Pinot Noir,Domaine Jessiaume,2648,387
6202,Kamiak 2009 Rock Lake Red (Washington),US,85,16.00,Washington,Red Blend,Kamiak,1726,528
6203,Castello di Cacchiano 2009 Millenio Gran Selezione (Chianti Classico),Italy,92,45.00,Tuscany,Sangiovese,Castello di Cacchiano,524,430
6204,Curtis 2009 Syrah (Santa Barbara County),US,84,25.00,California,Syrah,Curtis,829,631
6205,ChÃ¢teau de Belcier 2009 Castillon CÃ´tes de Bordeaux,France,90,22.00,Bordeaux,Bordeaux-style Red Blend,ChÃ¢teau de Belcier,1376,946
6206,Tercero 2009 Camp 4 Vineyard MourvÃ¨dre (Santa Ynez Valley),US,83,30.00,California,MourvÃ¨dre,Tercero,54,48
6207,Syncline 2009 Subduction White White (Columbia Valley (WA)),US,90,18.00,Washington,White Blend,Syncline,465,118
6208,ChÃ¢teau La Fleur Plaisance 2009 Montagne-Saint-Ãmilion,France,88,15.00,Bordeaux,Bordeaux-style Red Blend,ChÃ¢teau La Fleur Plaisance,1376,946
6209,Pride Mountain 2009 Viognier (Sonoma County),US,88,42.00,California,Viognier,Pride Mountain,203,160
6210,Hogue 2009 Sauvignon Blanc (Columbia Valley (WA)),US,88,11.00,Washington,Sauvignon Blanc,Hogue,1025,462
6211,Guillaume Gros 2009 El NiÃ±o Loco Red (Vin de Pays de la MÃ©diterranÃ©e),France,91,17.00,France Other,RhÃ´ne-style Red Blend,Guillaume Gros,294,133
6212,Swanson 2009 Pinot Grigio (Napa Valley),US,86,21.00,California,Pinot Grigio,Swanson,188,63
6214,Terredora 2009 Rosaenovae RosÃ© (Irpinia),Italy,83,0.00,Southern Italy,RosÃ©,Terredora,735,15
6215,Juslyn Vineyards 2009 Cabernet Sauvignon (Spring Mountain District),US,86,125.00,California,Cabernet Sauvignon,Juslyn Vineyards,1845,1432
6216,Bindi Sergardi 2009 Riserva (Chianti Classico),Italy,87,29.00,Tuscany,Red Blend,Bindi Sergardi,1726,726
6217,Darcie Kent Vineyards 2009 Rava Blackjack Vineyard Sauvignon Blanc (Monterey),US,87,18.00,California,Sauvignon Blanc,Darcie Kent Vineyards,1025,462
6218,Villa del Monte 2009 Reserve Moon Vineyard Merlot (Carneros),US,86,33.00,California,Merlot,Villa del Monte,593,419
6219,Fog Crest 2009 Laguna West Pinot Noir (Russian River Valley),US,86,39.00,California,Pinot Noir,Fog Crest,2648,1958
6220,Beaulieu Vineyard 2009 Cabernet Sauvignon (Rutherford),US,91,35.00,California,Cabernet Sauvignon,Beaulieu Vineyard,1845,1432
6221,Fornacina 2009 Brunello di Montalcino,Italy,89,64.00,Tuscany,Sangiovese,Fornacina,524,430
6222,Foxes Island 2009 Belsham Awatere Estate Pinot Noir (Marlborough),New Zealand,90,41.00,Marlborough,Pinot Noir,Foxes Island,2648,106
6223,Vecchia Cantina di Montepulciano 2009 Incanto (Vino Nobile di Montepulciano),Italy,88,0.00,Tuscany,Prugnolo Gentile,Vecchia Cantina di Montepulciano,8,8
6224,Little Black Dress 2009 Sauvignon Blanc (California),US,85,11.00,California,Sauvignon Blanc,Little Black Dress,1025,462
6225,Hahn 2009 SLH Estate Pinot Noir (Santa Lucia Highlands),US,86,35.00,California,Pinot Noir,Hahn,2648,1958
6226,Henry Fessy 2009 Saint-Amour,France,92,20.00,Beaujolais,Gamay,Henry Fessy,191,190
6227,Maurigi 2009 Bacca Bianca Tenuta di Budonetto White (Sicilia),Italy,86,15.00,Sicily & Sardinia,White Blend,Maurigi,465,165
6228,Bodega Norton 2009 Barrel Select Malbec (Mendoza),Argentina,86,17.00,Mendoza Province,Malbec,Bodega Norton,549,316
6229,De Loach 2009 Zinfandel (Russian River Valley),US,86,20.00,California,Zinfandel,De Loach,517,515
6230,Freeman 2009 Pinot Noir (Sonoma Coast),US,92,41.00,California,Pinot Noir,Freeman,2648,1958
6231,Barbi 2009 Il Ruspo Sangiovese (Umbria),Italy,86,0.00,Central Italy,Sangiovese,Barbi,524,430
6232,Il Poggiolo 2009 Bramante (Brunello di Montalcino),Italy,87,40.00,Tuscany,Sangiovese,Il Poggiolo,524,430
6233,de Trafford 2009 Chenin Blanc (Stellenbosch),South Africa,91,29.00,Stellenbosch,Chenin Blanc,de Trafford,119,39
6234,Koonowla 2009 Riesling (Clare Valley),Australia,87,20.00,South Australia,Riesling,Koonowla,1022,35
6235,Tasca d'Almerita 2009 Sallier de la Tour Syrah (Sicilia),Italy,86,11.00,Sicily & Sardinia,Syrah,Tasca d'Almerita,829,35
6236,Travaglini 2009 Il Sogno (Gattinara),Italy,92,120.00,Piedmont,Nebbiolo,Travaglini,537,527
6237,Pat Paulsen Vineyards 2009 Heritage Selection Cabernet Sauvignon (Alexander Valley),US,82,26.00,California,Cabernet Sauvignon,Pat Paulsen Vineyards,1845,1432
6238,Cesarini Sforza 2009 Tridentum RosÃ© Metodo Classico Pinot Nero (Trento),Italy,91,30.00,Northeastern Italy,Pinot Nero,Cesarini Sforza,38,37
6239,Rancho Sisquoc 2009 Flood Family Vineyards Syrah (Santa Barbara County),US,87,25.00,California,Syrah,Rancho Sisquoc,829,631
6240,James Family Cellars 2009 Stony Point Vineyard Estate Pinot Noir (Sonoma Coast),US,89,35.00,California,Pinot Noir,James Family Cellars,2648,1958
6241,Schug 2009 Cabernet Sauvignon (Sonoma Valley),US,90,28.00,California,Cabernet Sauvignon,Schug,1845,1432
6242,Hogue 2009 Genesis Syrah (Columbia Valley (WA)),US,90,16.00,Washington,Syrah,Hogue,829,631
6243,MonteabellÃ³n 2009 Avaniel (Ribera del Duero),Spain,85,13.00,Northern Spain,Tempranillo,MonteabellÃ³n,355,282
6244,Novelty Hill 2009 Merlot (Columbia Valley (WA)),US,89,22.00,Washington,Merlot,Novelty Hill,593,419
6245,Erath 2009 Bishop Creek Pinot Noir,US,89,50.00,Oregon,Pinot Noir,Erath,2648,1958
6246,Goose Ridge 2009 g3 White (Columbia Valley (WA)),US,85,14.00,Washington,White Blend,Goose Ridge,465,118
6247,Sharabella Wines 2009 Artistica Zinfandel (Lodi),US,82,16.00,California,Zinfandel,Sharabella Wines,517,515
6248,Mt. Beautiful 2009 Riesling (Canterbury),New Zealand,86,19.00,Canterbury,Riesling,Mt. Beautiful,1022,13
6249,Stephen Ross 2009 Bien Nacido Vineyards Chardonnay (Santa Maria Valley),US,88,32.00,California,Chardonnay,Stephen Ross,2294,1342
6250,Two Sisters 2009 Courtney's Vineyard Chardonnay (Sta. Rita Hills),US,91,55.00,California,Chardonnay,Two Sisters,2294,1342
6251,Signorello 2009 SETA Semillon-Sauvignon Blanc (Napa Valley),US,87,32.00,California,Semillon-Sauvignon Blanc,Signorello,13,10
