id,title,country,points,price,province,variety,winery
6657,One Hope 2009 Sauvignon Blanc (California),US,84,$19.00 ,California,Sauvignon Blanc,One Hope
6658,Lake Sonoma 2009 Chardonnay (Russian River Valley),US,87,$17.00 ,California,Chardonnay,Lake Sonoma
6659,Schild Estate 2009 Old Bush Vine GMS Grenache-MourvÃƒÂ¨dre-Shiraz G-S-M (Barossa),Australia,88,$15.00 ,South Australia,G-S-M,Schild Estate
6660,Fattoria di Casalbosco 2009 Casalbosco (Chianti),Italy,86,NULL,Tuscany,Sangiovese,Fattoria di Casalbosco
6661,Silvan Ridge 2009 Lazy River Vineyard Reserve Pinot Noir (Willamette Valley),US,85,$36.00 ,Oregon,Pinot Noir,Silvan Ridge
6662,La Posta 2009 Cocina Tinto Red (Mendoza),Argentina,86,$15.00 ,Mendoza Province,Red Blend,La Posta
6663,St. SupÃƒÂ©ry 2009 Dollarhide Petit Verdot (Napa Valley),US,90,$50.00 ,California,Petit Verdot,St. SupÃƒÂ©ry
6664,ChÃƒÂ¢teau La Fleur Plaisance 2009 Montagne-Saint-ÃƒÂ‰milion,France,88,$15.00 ,Bordeaux,Bordeaux-style Red Blend,ChÃƒÂ¢teau La Fleur Plaisance
6665,Quinta de la Rosa 2009 La Rosa Red (Douro),Portugal,91,NULL,Douro,Portuguese Red,Quinta de la Rosa
6666,Cavalchina 2009 Torre d'Orti Morari (Valpolicella Superiore),Italy,87,$25.00 ,Veneto,"Corvina, Rondinella, Molinara",Cavalchina
6667,Saviah 2009 Chardonnay (Columbia Valley (WA)),US,91,$25.00 ,Washington,Chardonnay,Saviah
6668,Borgogno 2009 Barolo,Italy,93,$80.00 ,Piedmont,Nebbiolo,Borgogno
6669,ChÃƒÂ¢teau Haut-Monplaisir 2009 Malbec (Cahors),France,91,$19.00 ,Southwest France,Malbec,ChÃƒÂ¢teau Haut-Monplaisir
6670,Canoe Ridge 2009 Vineyard Select Cabernet Sauvignon (Columbia Valley (WA)),US,91,$22.00 ,Washington,Cabernet Sauvignon,Canoe Ridge
6671,Duca del Frassino 2009 Merlot and Pinot Noir 3 liter BIB Red (Venezie),Italy,84,$20.00 ,Northeastern Italy,Red Blend,Duca del Frassino
6672,Casa Marin 2009 Lo Abarca Hills Vineyard Pinot Noir (San Antonio),Chile,90,$50.00 ,San Antonio,Pinot Noir,Casa Marin
6673,Mercy 2009 Cedar Lane Pinot Noir (Arroyo Seco),US,86,$38.00 ,California,Pinot Noir,Mercy
6674,Les Vins de Vienne 2009 Rasteau Le Cancarot Red (CÃƒÂ´tes du RhÃƒÂ´ne Villages),France,86,$29.00 ,RhÃƒÂ´ne Valley,RhÃƒÂ´ne-style Red Blend,Les Vins de Vienne
6675,Sur de los Andes 2009 Reserva Malbec (Mendoza),Argentina,86,$15.00 ,Mendoza Province,Malbec,Sur de los Andes
6676,Grey's Peak 2009 Sauvignon Blanc (Waipara),New Zealand,87,$17.00 ,Waipara,Sauvignon Blanc,Grey's Peak
6677,Donelan 2009 Walker Vine Hill Syrah (Russian River Valley),US,92,$45.00 ,California,Syrah,Donelan
6678,La Storia by Trentadue 2009 Estate Petite Sirah (Alexander Valley),US,85,$25.00 ,California,Petite Sirah,La Storia by Trentadue
6679,Wine Spots 2009 Cabernet Sauvignon (Napa Valley),US,83,$25.00 ,California,Cabernet Sauvignon,Wine Spots
6680,Quinta do Cavalinho 2009 TemplÃƒÂ¡rios Colheita Seleccionada Touriga Nacional (Tejo),Portugal,86,$20.00 ,Tejo,Touriga Nacional,Quinta do Cavalinho
6681,Torre Oria 2009 Gran Reserva Tempranillo-Cabernet Sauvignon (Valencia),Spain,81,$10.00 ,Levante,Tempranillo-Cabernet Sauvignon,Torre Oria
6682,Frenchie Winery 2009 Louis XIV Cabernet Sauvignon (Sonoma County-Napa County),US,85,$30.00 ,California,Cabernet Sauvignon,Frenchie Winery
6683,Domaine des Pierrettes 2009 Element Terre Sauvignon Blanc (Touraine),France,88,$16.00 ,Loire Valley,Sauvignon Blanc,Domaine des Pierrettes
6684,Les MaÃƒÂ®tres Vignerons de la Presqu'ÃƒÂ®le de Saint-Tropez 2009 La Cave de Saint-Roch-les-Vignes RosÃƒÂ© (CÃƒÂ´tes de Provence),France,86,$16.00 ,Provence,RosÃƒÂ©,Les MaÃƒÂ®tres Vignerons de la Presqu'ÃƒÂ®le de Saint-Tropez
6685,Buena Vista 2009 Chardonnay (Carneros),US,90,$19.00 ,California,Chardonnay,Buena Vista
6686,Stoneleigh 2009 Pinot Noir (Marlborough),New Zealand,86,$18.00 ,Marlborough,Pinot Noir,Stoneleigh
6687,Cortenova 2009 Montepulciano d'Abruzzo,Italy,84,$10.00 ,Central Italy,Montepulciano,Cortenova
6688,Alex Gambal 2009 Les Charmes (Chambolle-Musigny),France,92,$125.00 ,Burgundy,Pinot Noir,Alex Gambal
6689,Bota Box 2009 Old Vine 3 L Zinfandel (California),US,88,$19.00 ,California,Zinfandel,Bota Box
6690,Domaine Rotier 2009 Les Gravels Red (Gaillac),France,90,NULL,Southwest France,Red Blend,Domaine Rotier
6691,Gaja 2009 Costa Russi Nebbiolo (Langhe),Italy,95,$495.00 ,Piedmont,Nebbiolo,Gaja
6692,ValdubÃƒÂ³n 2009 Ribera del Duero,Spain,85,$15.00 ,Northern Spain,Tempranillo Blend,ValdubÃƒÂ³n
6693,Santa Florentina 2009 Cabernet Sauvignon (Famatina Valley),Argentina,82,$8.00 ,Other,Cabernet Sauvignon,Santa Florentina
6694,Kutch 2009 Savoy Vineyard Pinot Noir (Anderson Valley),US,89,$39.00 ,California,Pinot Noir,Kutch
6695,Ventisquero 2009 Pangea Apalta Vineyard Syrah (Colchagua Valley),Chile,90,$60.00 ,Colchagua Valley,Syrah,Ventisquero
6696,Vrede en Lust 2009 Jess RosÃƒÂ© (Simonsberg-Paarl),South Africa,88,$15.00 ,Simonsberg-Paarl,RosÃƒÂ©,Vrede en Lust
6697,Happy Canyon Vineyard 2009 Chukker Red (Happy Canyon of Santa Barbara),US,84,$20.00 ,California,Bordeaux-style Red Blend,Happy Canyon Vineyard
6698,Clos Fourtet 2009 Saint-ÃƒÂ‰milion,France,95,$120.00 ,Bordeaux,Bordeaux-style Red Blend,Clos Fourtet
6699,Byron 2009 Monument Pinot Noir (Santa Maria Valley),US,89,$60.00 ,California,Pinot Noir,Byron
6700,Quilceda Creek 2009 Galitzine Vineyard Cabernet Sauvignon (Red Mountain),US,96,$110.00 ,Washington,Cabernet Sauvignon,Quilceda Creek
6701,ChÃƒÂ¢teau de Fleurie 2009 Fleurie,France,90,$21.00 ,Beaujolais,Gamay,ChÃƒÂ¢teau de Fleurie
6702,The Williamsburg Winery 2009 Virginia Trianon Cabernet Franc (Virginia),US,84,$32.00 ,Virginia,Cabernet Franc,The Williamsburg Winery
6703,Riverbench 2009 Estate Pinot Noir (Santa Maria Valley),US,86,$28.00 ,California,Pinot Noir,Riverbench
6704,Agricola Querciabella 2009 BatÃƒÂ r White (Toscana),Italy,90,$90.00 ,Tuscany,White Blend,Agricola Querciabella
6705,ChÃƒÂ¢teau de la TerriÃƒÂ¨re 2009 CuvÃƒÂ©e Jules de Souzy Vieilles Vignes (Brouilly),France,90,$24.00 ,Beaujolais,Gamay,ChÃƒÂ¢teau de la TerriÃƒÂ¨re
6706,Newsome-Harlow 2009 Shake Ridge Ranch Zinfandel (Amador County),US,91,$36.00 ,California,Zinfandel,Newsome-Harlow
6707,Tasca d'Almerita 2009 Tenuta Regaleali Chardonnay (Sicilia),Italy,90,$60.00 ,Sicily & Sardinia,Chardonnay,Tasca d'Almerita
6708,Inkberry 2009 Mountain Estate Shiraz-Cabernet Sauvignon (Central Ranges),Australia,89,$14.00 ,Australia Other,Shiraz-Cabernet Sauvignon,Inkberry
6709,Balletto 2009 Vin de Paille Estate Pinot Gris (Russian River Valley),US,89,$65.00 ,California,Pinot Gris,Balletto
6710,Salomon-Undhof 2009 Steinterrassen Riesling (Kremstal),Austria,90,$23.00 ,Kremstal,Riesling,Salomon-Undhof
6711,ChÃƒÂ¢teau SÃƒÂ©nilhac 2009 Haut-MÃƒÂ©doc,France,90,$40.00 ,Bordeaux,Bordeaux-style Red Blend,ChÃƒÂ¢teau SÃƒÂ©nilhac
6712,Snake River 2009 Arena Valley Vineyard Cabernet Sauvignon,US,87,$15.00 ,Idaho,Cabernet Sauvignon,Snake River
6713,Sterling 2009 Vintner's Collection Syrah (Central Coast),US,87,$13.00 ,California,Syrah,Sterling
6714,Archery Summit 2009 Premier CuvÃƒÂ©e Pinot Noir (Willamette Valley),US,91,$48.00 ,Oregon,Pinot Noir,Archery Summit
6715,Bodegas del Paramo 2009 El MÃƒÂ©dico Prieto Picudo (Vino de la Tierra de Castilla y LeÃƒÂ³n),Spain,83,$37.00 ,Northern Spain,Prieto Picudo,Bodegas del Paramo
6716,Montes 2009 Alpha M Red (Santa Cruz),Chile,93,$100.00 ,Santa Cruz,Bordeaux-style Red Blend,Montes
6717,Bjorn 2009 Cabernet Sauvignon (Howell Mountain),US,93,$75.00 ,California,Cabernet Sauvignon,Bjorn
6718,Schramsberg 2009 Tognetti Vineyard Brut Sparkling (Carneros),US,96,$70.00 ,California,Sparkling Blend,Schramsberg
6719,Feudi di San Gregorio 2009 Fiano di Avellino,Italy,88,$22.00 ,Southern Italy,Fiano,Feudi di San Gregorio
6720,Pepper Bridge 2009 Seven Hills Vineyard Red (Walla Walla Valley (WA)),US,93,$60.00 ,Washington,Bordeaux-style Red Blend,Pepper Bridge
6721,Maso Martis 2009 Brut Metodo Classico Riserva Sparkling (Trento),Italy,92,$60.00 ,Northeastern Italy,Sparkling Blend,Maso Martis
6722,Easton 2009 Cooper Ranch Barbera (Shenandoah Valley (CA)),US,88,$25.00 ,California,Barbera,Easton
6723,Bucci 2009 Villa Bucci Riserva (Verdicchio dei Castelli di Jesi Classico Superiore),Italy,94,$55.00 ,Central Italy,Verdicchio,Bucci
6724,Drei DonÃƒÂ  Tenuta La Palazza 2009 Rosenere Red (ForlÃƒÂƒÃ‚Â¬),Italy,85,NULL,Central Italy,Red Blend,Drei DonÃƒÂ  Tenuta La Palazza
6725,La Cignozza 2009 Riserva (Chianti),Italy,85,$23.00 ,Tuscany,Red Blend,La Cignozza
6726,Ideal Drinks 2009 Principal Grande Reserva Red (Bairrada),Portugal,92,$93.00 ,Bairrada,Portuguese Red,Ideal Drinks
6727,eco.love 2009 Riesling (South Island),New Zealand,85,$17.00 ,South Island,Riesling,eco.love
6728,OÃƒÂ¢Ã¢Â‚Â¬Ã‚Â¢S Winery 2009 Champoux Vineyard Cabernet Franc (Horse Heaven Hills),US,88,$28.00 ,Washington,Cabernet Franc,OÃƒÂ¢Ã¢Â‚Â¬Ã‚Â¢S Winery
6729,Cantine Lunae Bosoni 2009 Grey Label Vermentino (Colli di Luni),Italy,87,$20.00 ,Northwestern Italy,Vermentino,Cantine Lunae Bosoni
6730,Hudson-Chatham 2009 Old Vines Masson Place Vineyard Pulteney Farm Baco Noir (Hudson River Region),US,85,$20.00 ,New York,Baco Noir,Hudson-Chatham
6731,Maryhill 2009 Zinfandel (Columbia Valley (WA)),US,86,$17.00 ,Washington,Zinfandel,Maryhill
6732,Casa di Grazia 2009 Gradiva Collectio Nero d'Avola (Sicilia),Italy,88,$18.00 ,Sicily & Sardinia,Nero d'Avola,Casa di Grazia
6733,Wattle Creek 2009 Merlot (Yorkville Highlands),US,88,$30.00 ,California,Merlot,Wattle Creek
6734,Korbel 2009 Made with Organically Grown Grapes Brut Sparkling (California),US,86,$16.00 ,California,Sparkling Blend,Korbel
6735,Chatom Vineyards 2009 Touriga Nacional (Calaveras County),US,87,$24.00 ,California,Touriga Nacional,Chatom Vineyards
6736,Bodegas Palacio 2009 Cosme Palacio 1894 Blanco White (Rioja),Spain,88,NULL,Northern Spain,White Blend,Bodegas Palacio
6737,Murphy-Goode 2009 Merlot (California),US,87,$14.00 ,California,Merlot,Murphy-Goode
6738,Arista 2009 Pinot Noir (Sonoma Coast),US,87,$34.00 ,California,Pinot Noir,Arista
6739,Elias Mora 2009 Crianza (Toro),Spain,90,$40.00 ,Northern Spain,Tinta de Toro,Elias Mora
6740,Gerovassiliou 2009 Malagousia (Epanomi),Greece,88,$23.00 ,Epanomi,Malagousia,Gerovassiliou
6741,Ferrari Iris e Figli 2009 Bolgheri Superiore,Italy,91,$35.00 ,Tuscany,Red Blend,Ferrari Iris e Figli
6742,Bigi 2009 Amabile (Orvieto Classico),Italy,83,$11.00 ,Central Italy,White Blend,Bigi
6743,World's End 2009 Wavelength Sugarloaf Mountain Vineyard Syrah-Cabernet Franc (Napa Valley),US,92,$69.00 ,California,Syrah-Cabernet Franc,World's End
6744,ChÃƒÂ¢teau Petit-Village 2009 Pomerol,France,93,NULL,Bordeaux,Bordeaux-style Red Blend,ChÃƒÂ¢teau Petit-Village
6745,De Toren 2009 Z Red (Stellenbosch),South Africa,90,$35.00 ,Stellenbosch,Bordeaux-style Red Blend,De Toren
6746,Cline 2009 Syrah (Sonoma County),US,87,$12.00 ,California,Syrah,Cline
6747,Fleur Du Cap 2009 Bergkelder Selection Pinotage (Coastal Region),South Africa,84,$12.00 ,Coastal Region,Pinotage,Fleur Du Cap
6748,Miro 2009 Silverwood Vineyard Mountain Grown Cabernet Sauvignon (Alexander Valley),US,85,$28.00 ,California,Cabernet Sauvignon,Miro
6749,Pannier 2009 Louis EugÃƒÂ¨ne Blanc de Noirs Brut (Champagne),France,88,NULL,Champagne,Champagne Blend,Pannier
6750,Michael David 2009 Lust Zinfandel (Lodi),US,85,$59.00 ,California,Zinfandel,Michael David
6751,Morse 2009 Three Popes Red (Amador County),US,84,$22.00 ,California,RhÃƒÂ´ne-style Red Blend,Morse
6752,Renieri 2009 Invetro Red (Toscana),Italy,87,$18.00 ,Tuscany,Red Blend,Renieri
6753,Midsummer Cellars 2009 CaÃƒÂ±on Creek Vineyard Cabernet Sauvignon (Napa Valley),US,90,$44.00 ,California,Cabernet Sauvignon,Midsummer Cellars
6754,Beni di Batasiolo 2009 Barbaresco,Italy,90,$36.00 ,Piedmont,Nebbiolo,Beni di Batasiolo
6755,Saint Clair 2009 Pioneer Block 20 Cash Block Sauvignon Blanc (Marlborough),New Zealand,89,$24.00 ,Marlborough,Sauvignon Blanc,Saint Clair
6756,Holmes Harbor Cellars 2009 Syrah (Walla Walla Valley (WA)),US,85,$30.00 ,Washington,Syrah,Holmes Harbor Cellars
6757,Jean Edwards 2009 Seventy Four - Forty One Cabernet Sauvignon (Napa Valley),US,91,$65.00 ,California,Cabernet Sauvignon,Jean Edwards
6758,Nota Bene 2009 Abbinare Red (Columbia Valley (WA)),US,88,$25.00 ,Washington,Bordeaux-style Red Blend,Nota Bene
6759,BatiÃƒÂ„Ã‚Â 2009 Angel Grande CuvÃƒÂ©e Rezerva White (Vipavska Dolina),Slovenia,89,$35.00 ,Vipavska Dolina,White Blend,BatiÃƒÂ„Ã‚Â
6760,Georges Duboeuf 2009 Domaine du Buyats (RÃƒÂ©gniÃƒÂ©),France,84,NULL,Beaujolais,Gamay,Georges Duboeuf
6761,Robert Oatley 2009 Pinot Grigio (South Australia),Australia,86,$16.00 ,South Australia,Pinot Grigio,Robert Oatley
6762,Au Bon Climat 2009 Los Alamos Vineyard Chardonnay (Santa Barbara County),US,89,$25.00 ,California,Chardonnay,Au Bon Climat
6763,Painted Wolf 2009 The Den Chenin Blanc (Coastal Region),South Africa,87,$12.00 ,Coastal Region,Chenin Blanc,Painted Wolf
6764,Krupp Brothers 2009 Stagecoach Vineyard Synchrony Red (Napa Valley),US,93,$90.00 ,California,Bordeaux-style Red Blend,Krupp Brothers
6765,Dr. Loosen 2009 Dr. L Riesling (Mosel),Germany,86,$12.00 ,Mosel,Riesling,Dr. Loosen
6766,Quinta da Ribeirinha 2009 Vale de Lobos Red (Tejo),Portugal,84,$11.00 ,Tejo,Portuguese Red,Quinta da Ribeirinha
6767,Matetic 2009 EQ Chardonnay (San Antonio),Chile,84,$26.00 ,San Antonio,Chardonnay,Matetic
6768,Fattori 2009 Runcaris (Soave Classico),Italy,86,$15.00 ,Veneto,Garganega,Fattori
6769,Borgo Scopeto 2009 Vigna Misciano Riserva (Chianti Classico),Italy,89,$30.00 ,Tuscany,Sangiovese,Borgo Scopeto
6770,Emina 2009 Verdejo (Rueda),Spain,88,$11.00 ,Northern Spain,Verdejo,Emina
6771,Fenestra 2009 Silvaspoons Vineyard Touriga Nacional (Lodi),US,86,$24.00 ,California,Touriga Nacional,Fenestra
6772,J. Lohr 2009 Gesture Syrah (Paso Robles),US,87,$35.00 ,California,Syrah,J. Lohr
6773,Chase 2009 Hayne Vineyard Reserve Zinfandel (St. Helena),US,92,$75.00 ,California,Zinfandel,Chase
6774,Estate Biblia Chora 2009 Ovilos White (Pangeon),Greece,86,$38.00 ,Pangeon,White Blend,Estate Biblia Chora
6775,Fontanella 2009 Chardonnay (Mount Veeder),US,87,$30.00 ,California,Chardonnay,Fontanella
6776,Adams Bench 2009 the V Cabernet Sauvignon (Columbia Valley (WA)),US,89,$49.00 ,Washington,Cabernet Sauvignon,Adams Bench
6777,LaZarre 2009 Pinot Noir (Central Coast),US,88,$28.00 ,California,Pinot Noir,LaZarre
6778,Patz & Hall 2009 Pisoni Vineyard Pinot Noir (Santa Lucia Highlands),US,89,$85.00 ,California,Pinot Noir,Patz & Hall
6779,Collier Falls 2009 Syrah du Soleil Syrah (Sonoma County),US,85,$36.00 ,California,Syrah,Collier Falls
6780,Alpamanta 2009 Natal Malbec (Mendoza),Argentina,84,$15.00 ,Mendoza Province,Malbec,Alpamanta
6781,Yannick Amirault 2009 Les Quartiers Cabernet Franc (Bourgueil),France,92,NULL,Loire Valley,Cabernet Franc,Yannick Amirault
6782,Indulge 2009 Sauvignon Blanc (North Coast),US,87,$20.00 ,California,Sauvignon Blanc,Indulge
6783,Chehalem 2009 RR Pinot Noir (Ribbon Ridge),US,92,$69.00 ,Oregon,Pinot Noir,Chehalem
6784,Michele Chiarlo 2009 Asili (Barbaresco),Italy,90,$90.00 ,Piedmont,Nebbiolo,Michele Chiarlo
6785,Hunt Country Vineyards 2009 Dry Riesling (Finger Lakes),US,83,$14.00 ,New York,Riesling,Hunt Country Vineyards
6786,Obelisco Estate 2009 Reserve Merlot (Red Mountain),US,88,$45.00 ,Washington,Merlot,Obelisco Estate
6787,Mark Ryan 2009 Les Vignes de Marcoux Lost Soul Syrah (Yakima Valley),US,92,$48.00 ,Washington,Syrah,Mark Ryan
6788,Domaine des Baumard 2009 Clos de Sainte-Catherine Chenin Blanc (Coteaux du Layon),France,91,NULL,Loire Valley,Chenin Blanc,Domaine des Baumard
6789,La Castellada 2009 Pinot Grigio (Collio),Italy,88,$70.00 ,Northeastern Italy,Pinot Grigio,La Castellada
6790,Finca Sophenia 2009 Synthesis Malbec (Tupungato),Argentina,87,$34.00 ,Mendoza Province,Malbec,Finca Sophenia
6791,Fonseca 2009 Vintage (Port),Portugal,95,$99.00 ,Port,Port,Fonseca
6792,Rios de Chile 2009 Gran Reserva Syrah (Cachapoal Valley),Chile,91,$20.00 ,Cachapoal Valley,Syrah,Rios de Chile
6793,Serni Fulvio Luigi 2009 Acciderba (Bolgheri),Italy,91,$42.00 ,Tuscany,Red Blend,Serni Fulvio Luigi
6794,Larry Hyde and Sons 2009 Pinot Noir (Carneros),US,90,$65.00 ,California,Pinot Noir,Larry Hyde and Sons
6795,Domaine du Comte Liger-Belair 2009 Les Rouchaux (Moulin-ÃƒÂ -Vent),France,92,NULL,Beaujolais,Gamay,Domaine du Comte Liger-Belair
6796,Pepperwood Grove 2009 Pinot Noir (Central Valley),Chile,82,$7.00 ,Central Valley,Pinot Noir,Pepperwood Grove
6797,Presqu'ile 2009 Rim Rock Vineyard Pinot Noir (San Luis Obispo County),US,87,$55.00 ,California,Pinot Noir,Presqu'ile
6798,Delibori 2009 Amarone della Valpolicella,Italy,89,$45.00 ,Veneto,Red Blend,Delibori
6799,Arrowood 2009 Alary Chardonnay (Russian River Valley),US,88,$35.00 ,California,Chardonnay,Arrowood
6800,Orentano 2009 Pinot Noir (Russian River Valley),US,90,$38.00 ,California,Pinot Noir,Orentano
6801,Salcheto 2009 RosÃƒÂ© (Toscana),Italy,86,$13.00 ,Tuscany,RosÃƒÂ©,Salcheto
6802,Rusack 2009 Sangiovese (Santa Ynez Valley),US,86,$32.00 ,California,Sangiovese,Rusack
6803,Atwater 2009 Cabernet Sauvignon (Finger Lakes),US,87,$25.00 ,New York,Cabernet Sauvignon,Atwater
6804,Marojallia 2009 Barrel sample (Margaux),France,89,NULL,Bordeaux,Bordeaux-style Red Blend,Marojallia
6805,Pascal Bouchard 2009 Les Clos Grand Cru (Chablis),France,93,$137.00 ,Burgundy,Chardonnay,Pascal Bouchard
6806,Louis Bernard 2009 Red (ChÃƒÂ¢teauneuf-du-Pape),France,89,$38.00 ,RhÃƒÂ´ne Valley,RhÃƒÂ´ne-style Red Blend,Louis Bernard
6807,Castello di Amorosa 2009 King Ridge Vineyard Pinot Nero (Sonoma Coast),US,86,$59.00 ,California,Pinot Nero,Castello di Amorosa
6808,Longoria 2009 CuvÃƒÂ©e June Pink Wine RosÃƒÂ© (Santa Barbara County),US,85,$22.00 ,California,RosÃƒÂ©,Longoria
6809,Montemercurio 2009 Messaggero (Vino Nobile di Montepulciano),Italy,88,$35.00 ,Tuscany,Red Blend,Montemercurio
6810,Mountford 2009 Riche Riesling (Waipara),New Zealand,89,$24.00 ,Waipara,Riesling,Mountford
6811,Merus 2009 Cabernet Sauvignon (Napa Valley),US,94,$145.00 ,California,Cabernet Sauvignon,Merus
6812,Dreamer 2009 Late Harvest Merlot RosÃƒÂ© (Dealurile Munteniei),Romania,82,$9.00 ,Dealurile Munteniei,RosÃƒÂ©,Dreamer
6813,Moretti Omero 2009 Sagrantino di Montefalco,Italy,88,$50.00 ,Central Italy,Sagrantino,Moretti Omero
6814,Duca di Salaparuta 2009 Vajasindi NawÃƒÂ ri Pinot Nero (Sicilia),Italy,87,NULL,Sicily & Sardinia,Pinot Nero,Duca di Salaparuta
6815,V. Sattui 2009 Prestige CuvÃƒÂ©e Brut Sparkling (Napa Valley),US,90,$29.00 ,California,Sparkling Blend,V. Sattui
6816,Univitis 2009 Mayne Sansac (Bordeaux),France,85,$11.00 ,Bordeaux,Bordeaux-style Red Blend,Univitis
6817,Forgeron 2009 Ambiance White (Columbia Valley (WA)),US,89,$25.00 ,Washington,RhÃƒÂ´ne-style White Blend,Forgeron
6818,Erath 2009 Prince Hill Pinot Noir (Dundee Hills),US,94,$45.00 ,Oregon,Pinot Noir,Erath
6819,Feudi del Pisciotto 2009 Giambattista Valli (Cerasuolo di Vittoria),Italy,87,$21.00 ,Sicily & Sardinia,Red Blend,Feudi del Pisciotto
6820,Bailiwick 2009 Pinot Noir (Russian River Valley),US,90,$36.00 ,California,Pinot Noir,Bailiwick
6821,Domaine des Baumard 2009 Clos du Papillon (SavenniÃƒÂ¨res),France,93,NULL,Loire Valley,Chenin Blanc,Domaine des Baumard
6822,J. Lohr 2009 CuvÃƒÂ©e St. E Red (Paso Robles),US,92,$50.00 ,California,Bordeaux-style Red Blend,J. Lohr
6823,Terlato 2009 Block #9 Syrah (Dry Creek Valley),US,88,$48.00 ,California,Syrah,Terlato
6824,Verde Sole 2009 Zinfandel (Sierra Foothills),US,86,$18.00 ,California,Zinfandel,Verde Sole
6825,Hogue 2009 Pinot Grigio (Columbia Valley (WA)),US,88,$11.00 ,Washington,Pinot Grigio,Hogue
6826,Pirro Varone 2009 Tocy (Primitivo di Manduria),Italy,88,$27.00 ,Southern Italy,Primitivo,Pirro Varone
6827,ChÃƒÂ¢teau du Port 2009 Tertre Perdigous Malbec (Cahors),France,88,$16.00 ,Southwest France,Malbec,ChÃƒÂ¢teau du Port
6828,Girasole 2009 Zinfandel (Mendocino),US,83,$13.00 ,California,Zinfandel,Girasole
6829,Vindemio 2009 Regain Red (Ventoux),France,86,$16.00 ,RhÃƒÂ´ne Valley,RhÃƒÂ´ne-style Red Blend,Vindemio
6830,Louis Bernard 2009 Red (CÃƒÂ´tes du RhÃƒÂ´ne Villages),France,87,$13.00 ,RhÃƒÂ´ne Valley,RhÃƒÂ´ne-style Red Blend,Louis Bernard
6831,ChÃƒÂ¢teau Roc Meynard 2009 Bordeaux SupÃƒÂ©rieur,France,85,$15.00 ,Bordeaux,Bordeaux-style Red Blend,ChÃƒÂ¢teau Roc Meynard
6832,Thurston Wolfe 2009 McKinley Springs Vineyard Malbec (Horse Heaven Hills),US,89,$25.00 ,Washington,Malbec,Thurston Wolfe
6833,Penley Estate 2009 Reserve Estate Grown Cabernet Sauvignon (Coonawarra),Australia,91,$50.00 ,South Australia,Cabernet Sauvignon,Penley Estate
6834,Coppo 2009 Barolo,Italy,90,$90.00 ,Piedmont,Nebbiolo,Coppo
6835,Viader 2009 Red (Napa Valley),US,95,$115.00 ,California,Bordeaux-style Red Blend,Viader
6836,Coghlan 2009 Diopside Pinot Noir (Sta. Rita Hills),US,94,$40.00 ,California,Pinot Noir,Coghlan
6837,Casa Donoso 2009 Perla Negra Red (Maule Valley),Chile,91,$61.00 ,Maule Valley,Bordeaux-style Red Blend,Casa Donoso
6838,Yamhill Valley 2009 Riesling (McMinnville),US,92,$18.00 ,Oregon,Riesling,Yamhill Valley
6839,Norbert Bauer 2009 Diermannsee Riesling (NiederÃƒÂ¶sterreich),Austria,88,$18.00 ,NiederÃƒÂ¶sterreich,Riesling,Norbert Bauer
6840,Roccafiore 2009 Montefalco Sagrantino,Italy,89,$35.00 ,Central Italy,Sagrantino,Roccafiore
6841,Conterno Fantino 2009 Bricco Bastia (Dolcetto d'Alba),Italy,86,$23.00 ,Piedmont,Dolcetto,Conterno Fantino
6842,Concha y Toro 2009 Casillero del Diablo Reserva Syrah (Rapel Valley),Chile,86,$12.00 ,Rapel Valley,Syrah,Concha y Toro
6843,Les Jamelles 2009 Chardonnay (Vin de Pays d'Oc),France,86,$11.00 ,Languedoc-Roussillon,Chardonnay,Les Jamelles
6844,Toccata 2009 Rosato RosÃƒÂ© (Santa Barbara County),US,81,$15.00 ,California,RosÃƒÂ©,Toccata
6845,Lyeth 2009 Reserve Meritage (Sonoma County),US,87,$16.00 ,California,Meritage,Lyeth
6846,Lost Canyon 2009 Goff-Whitton Vineyard Pinot Noir (Russian River Valley),US,88,$45.00 ,California,Pinot Noir,Lost Canyon
6847,Vizar 2009 SelecciÃƒÂ³n Especial Red (Vino de la Tierra de Castilla y LeÃƒÂ³n),Spain,91,$60.00 ,Northern Spain,Red Blend,Vizar
6848,K Vintners 2009 The Boy Grenache (Walla Walla Valley (WA)),US,91,$50.00 ,Washington,Grenache,K Vintners
6849,Mas GabinÃƒÂ¨le 2009 Red (FaugÃƒÂ¨res),France,90,$20.00 ,Languedoc-Roussillon,RhÃƒÂ´ne-style Red Blend,Mas GabinÃƒÂ¨le
6850,St Hallett 2009 Old Block Shiraz (Barossa),Australia,90,$70.00 ,South Australia,Shiraz,St Hallett
6851,Josef Chromy 2009 Pinot Noir (Tasmania),Australia,86,$28.00 ,Tasmania,Pinot Noir,Josef Chromy
6852,Gandona 2009 Cabernet Sauvignon (Napa Valley),US,97,$190.00 ,California,Cabernet Sauvignon,Gandona
6853,Cosentino 2009 The Chard Chardonnay (California),US,87,$15.00 ,California,Chardonnay,Cosentino
6854,Ancient Peaks 2009 Sauvignon Blanc (Paso Robles),US,88,$12.00 ,California,Sauvignon Blanc,Ancient Peaks
6855,Sheldon 2009 Ripken Vineyard Graciano (Lodi),US,94,$48.00 ,California,Graciano,Sheldon
